,Count_update,Count_comment,Count_funder,Count_photo,Amount_goal,Start_month,End_month,Duration,Min_perk,No_min_perk,Max_perk,No_max_perk,Median_perk,No_med_perk,Total_perk,FB_like,FB_talking,Youtube_avg_duration,Youtube_avg_view_count,Youtube_avg_rating,US,newtype,status,lat,lon,recoded_country,Mintotal,Maxtotal,Mediantotal
634,3,17,25,2.0,15000,9,11,45.0,5,1,2500,0,300.0,0,10,621,4,0.0,0.0,0.0,1,0,3,40.396801199999999,-74.091598200000007,0,5,0,0.0
635,0,4,13,4.0,30000,6,8,60.0,5,1,500,1,44.0,0,12,0,0,0.0,0.0,0.0,1,0,3,47.606209499999999,-122.3320708,0,5,500,0.0
636,17,0,22,3.0,110000,9,10,35.0,2,0,50000,0,785.0,0,8,0,0,0.0,0.0,0.0,0,0,3,1.2800944999999999,103.85094909999999,37,0,0,0.0
637,3,2,13,3.0,31238,8,8,30.0,5,1,5000,0,100.0,0,9,0,0,117.1875,90.4375,0.625,1,0,3,34.052234200000001,-118.24368490000001,0,5,0,0.0
638,0,4,13,0.0,12000,2,3,45.0,5,2,1000,0,50.0,1,7,0,0,0.0,0.0,0.0,1,0,3,27.6648274,-81.515753500000002,0,10,0,50.0
639,0,7,37,15.0,48000,5,7,41.0,5,2,5000,0,75.0,0,8,0,0,0.0,0.0,0.0,1,0,3,40.7143528,-74.005973100000006,0,10,0,0.0
640,3,12,26,14.0,40000,1,2,40.0,1,4,299,0,99.0,1,9,0,0,0.0,0.0,0.0,0,0,3,43.453471800000003,-80.500124200000002,2,4,0,99.0
641,1,13,17,0.0,10000,9,10,45.0,10,0,2500,0,20.0,2,16,0,0,0.0,0.0,0.0,1,0,3,33.618910100000001,-117.9289469,0,0,0,40.0
642,7,12,34,2.0,10000,2,4,45.0,1,0,1000,0,75.0,0,8,0,0,0.0,0.0,0.0,0,0,3,43.653225999999997,-79.383184299999996,2,0,0,0.0
643,0,10,154,6.0,3000,10,12,45.0,2,16,2,16,2.0,16,10,0,0,120.0,1356.0,3.6666666999999999,0,0,2,41.385063899999999,2.1734035,13,32,32,32.0
644,2,29,26,0.0,25000,8,10,44.0,10,3,10000,0,150.0,1,11,64,0,176.0,331.0,0.0,1,0,3,0.0,0.0,0,30,0,150.0
645,0,2,16,1.0,140000,8,9,21.0,10,8,3000,0,325.0,0,6,0,0,152.3333333333,3077.0,4.4431373333000002,0,0,3,47.3686498,8.5391825000000008,7,80,0,0.0
