Count_update,Count_comment,Count_funder,Count_photo,Amount_goal,Start_month,End_month,Duration,Min_perk,No_min_perk,Max_perk,No_max_perk,Median_perk,No_med_perk,Total_perk,FB_like,FB_talking,Youtube_avg_duration,Youtube_avg_view_count,Youtube_avg_rating,US,newtype,status,lat,lon,recoded_country,Mintotal,Maxtotal,Mediantotal
8,8,18,2,10000,11,12,31,1,1,224,2,36,0,6,0,0,0,0,0,0,0,3,25.091075,121.5598345,16,1,448,0
0,12,22,0,57000,10,12,60,7,8,16500,0,161.5,0,12,0,0,0,0,0,0,0,3,50.7732182,6.0112743,5,56,0,0
0,4,8,4,25000,4,6,60,20,0,50,0,50,0,3,0,0,0,0,0,1,0,3,39.737567,-104.9847179,0,0,0,0
8,13,6,7,100000,4,5,30,10,1,1750,0,219,0,12,0,0,0,0,0,0,0,3,-37.814107,144.96328,10,10,0,0
12,42,23,19,12358,7,8,42,5,10,1000,0,50,4,7,0,0,0,0,0,0,0,3,50.937531,6.9602786,11,50,0,200
10,21,64,1,500,11,12,30,2,16,24,21,7.5,0,4,0,0,0,0,0,0,0,1,0,0,23,32,504,0
0,9,14,0,900,12,1,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,44.0520691,-123.0867536,0,0,0,0
0,4,10,0,30000,10,11,30,2,1,2,1,2,1,9,0,0,0,0,0,0,0,3,51.5112139,-0.1198244,6,2,2,2
2,4,14,0,200000,11,12,45,25,2,8500,0,400,0,9,0,0,0,0,0,0,0,3,59.9138688,10.7522454,24,50,0,0
75,7,19,8,25000,6,8,60,1,0,2500,0,250,0,10,328,0,0,0,0,1,0,3,34.4263886,-117.3008784,0,0,0,0
12,12,11,13,10000,6,8,50,20,2,500,0,115,0,4,0,0,0,0,0,0,0,3,-31.9530044,115.8574693,10,40,0,0
0,13,21,0,70000,11,12,30,5,0,10000,0,99,2,9,0,0,0,0,0,0,1,3,51.5112139,-0.1198244,6,0,0,198
1,0,3,0,350000,11,12,60,1,0,1000,1,50,0,7,0,0,0,0,0,1,0,3,26.3107774,-80.2532249,0,0,1000,0
3,2,36,3,1000,6,7,15,5,2,500,0,37.5,0,8,0,0,0,0,0,1,1,1,39.4141718,-76.3463847,0,10,0,0
0,2,4,5,322580,7,8,21,10,2,100000,0,45,0,8,0,0,0,0,0,1,0,3,37.4418834,-122.1430195,0,20,0,0
0,6,10,7,25000,7,9,40,4,0,1000,0,225,0,6,0,0,0,0,0,1,0,3,37.8043637,-122.2711137,0,0,0,0
0,8,10,0,4000,4,5,45,25,1,500,1,100,4,3,0,0,0,0,0,1,0,3,41.1628731,-73.8615246,0,25,500,400
0,3,5,2,15000,7,8,35,10,1,1000,0,25,1,7,0,0,0,0,0,1,0,3,36.114646,-115.172816,0,10,0,25
1,9,7,2,10000,8,1,154,20,0,2500,0,500,0,9,0,0,0,0,0,0,0,3,-35.2819998,149.1286843,10,0,0,0
2,2,21,15,10000,2,3,30,1,1,100,0,25,5,5,0,0,0,0,0,0,0,3,41.00527,28.97696,25,1,0,125
2,3,12,0,20000,7,9,45,10,2,100,2,45,0,4,0,0,0,0,0,1,0,3,28.6277767,-81.3631244,0,20,200,0
0,13,12,4,150000,4,6,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,45.6520586,-74.3398015,2,0,0,0
5,11,14,0,19000,9,11,50,2,1,2,1,2,1,12,0,0,0,0,0,0,0,3,44.560317,2.25183,26,2,2,2
0,5,9,0,475000,11,1,60,20,4,10000,0,650,0,8,0,0,0,0,0,0,0,3,48.76564,8.2285242,11,80,0,0
32,8,5,1,100000,4,6,60,10,2,10000,0,500,2,7,0,0,0,0,0,0,0,3,18.4229789,-64.6187958,27,20,0,1000
6,7,9,14,90000,4,5,40,10,1,5000,0,175,0,10,0,0,0,0,0,1,0,3,37.6688205,-122.0807964,0,10,0,0
0,18,22,0,2700,10,11,18,5,1,1000,0,100,1,7,0,0,0,0,0,1,0,3,33.7489954,-84.3879824,0,5,0,100
0,3,29,1,1000,6,6,13,1,3,100,3,17.5,0,6,0,0,0,0,0,0,0,1,0,0,25,3,300,0
1,10,25,1,20000,9,10,31,10,4,20000,0,200,0,10,1162,1,0,0,0,0,0,3,52.5200066,13.404954,11,40,0,0
1,14,28,2,1000,7,8,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,40.7143528,-74.0059731,0,0,0,0
0,21,30,3,35000,11,12,33,1,1,35,23,19,5,3,0,0,0,0,0,1,0,3,37.2358078,-121.9623751,0,1,805,95
2,5,16,2,33435,5,9,116,10,10,1000,0,175,0,6,0,0,0,0,0,1,0,3,37.9850091,-103.5438321,0,100,0,0
